Obchodný deň;Číslo periódy;Perióda;Objednávky na nákup (MW);Objednávky na predaj (MW);Zobchodovaný nákup (MW);Zobchodovaný predaj (MW);Rozdiel zobchodovaných  množstiev (MW);Priemerná cena obchodov (EUR/MWh);Váženy priemer cien všetkých obchodov (EUR/MWh);Minimálna cena (EUR/MWh);Maximálna cena (EUR/MWh);Posledná cena (EUR/MWh);Zobchodované množstvo (MW);Vážený priemer cien zobchodovaných jednoduchých objednávok (EUR/MWh);Zobchodované množstvo jednoduchých objednávok (MW)
11.8.2026;15;03:30 - 03:45;97,2;52,2;12,7;7,8;4,9;140,03;139,14;135,53;152,68;141,39;20,5;139,14;20,5
11.8.2026;16;03:45 - 04:00;206,8;73,9;17,1;4,8;12,3;138,95;138,50;133,90;143,50;138,42;21,9;138,50;21,9
11.8.2026;17;04:00 - 04:15;99,9;80,4;11,9;11,9;0,0;140,17;140,01;135,60;145,57;145,57;23,8;140,01;23,8
11.8.2026;18;04:15 - 04:30;88,2;49,8;7,1;3,7;3,4;139,65;139,55;137,20;143,52;138,31;10,8;139,55;10,8
11.8.2026;19;04:30 - 04:45;302,0;54,1;28,3;4,3;24,0;143,27;144,04;139,02;147,01;147,01;32,6;144,04;32,6
11.8.2026;20;04:45 - 05:00;69,5;80,6;10,6;7,2;3,4;163,91;198,41;140,63;297,00;297,00;17,8;198,41;17,8
11.8.2026;21;05:00 - 05:15;263,6;49,8;10,3;7,0;3,3;157,74;158,19;140,45;170,00;170,00;17,3;158,19;17,3
11.8.2026;22;05:15 - 05:30;758,4;57,0;18,9;1,9;17,0;154,65;158,34;142,45;161,85;156,80;20,8;158,34;20,8
11.8.2026;23;05:30 - 05:45;245,9;47,2;35,4;1,5;33,9;160,05;160,53;153,19;169,11;156,81;36,9;160,53;36,9
11.8.2026;24;05:45 - 06:00;138,1;54,0;50,6;3,1;47,5;158,15;157,51;152,80;169,02;155,19;53,7;157,51;53,7
11.8.2026;25;06:00 - 06:15;201,6;91,4;12,9;2,6;10,3;164,95;164,48;148,73;171,98;160,29;15,5;164,48;15,5
11.8.2026;26;06:15 - 06:30;165,3;73,4;21,6;1,3;20,3;162,08;162,22;156,16;168,05;160,20;22,9;162,22;22,9
11.8.2026;27;06:30 - 06:45;132,7;84,1;17,6;7,9;9,7;163,02;163,95;154,84;168,54;168,54;25,5;163,95;25,5
11.8.2026;28;06:45 - 07:00;82,5;101,4;7,3;6,0;1,3;164,68;165,33;159,66;171,68;168,82;13,3;165,33;13,3
11.8.2026;29;07:00 - 07:15;208,1;86,4;20,3;5,7;14,6;167,00;168,16;161,84;172,07;171,68;26,0;168,16;26,0
11.8.2026;30;07:15 - 07:30;270,0;62,9;40,9;8,6;32,3;159,61;159,56;154,49;166,74;155,71;49,5;159,56;49,5
11.8.2026;31;07:30 - 07:45;618,2;82,7;42,2;0,0;42,2;155,07;154,24;147,96;163,10;151,89;42,2;154,24;42,2
11.8.2026;32;07:45 - 08:00;714,3;146,5;27,2;0,8;26,4;149,61;148,06;143,48;157,95;148,01;28,0;148,06;28,0
11.8.2026;33;08:00 - 08:15;1074,3;13132,7;46,4;9,7;36,7;163,91;164,45;158,81;168,60;165,40;56,1;164,45;56,1
11.8.2026;34;08:15 - 08:30;19766,5;7469,2;37,0;0,7;36,3;158,95;162,28;143,10;166,60;143,10;37,7;162,28;37,7
11.8.2026;35;08:30 - 08:45;7072,7;9252,1;35,2;3,0;32,2;156,29;157,52;145,55;161,34;159,54;38,2;157,52;38,2
11.8.2026;36;08:45 - 09:00;9248,9;3159,3;23,5;4,2;19,3;142,17;143,12;117,84;148,77;144,86;27,7;143,12;27,7
11.8.2026;37;09:00 - 09:15;5692,6;2640,1;58,7;16,1;42,6;157,82;158,78;121,80;169,00;121,80;74,8;158,78;74,8
11.8.2026;38;09:15 - 09:30;12691,4;160,1;73,8;62,2;11,6;125,49;125,93;85,02;145,87;85,02;136,0;125,93;136,0
11.8.2026;39;09:30 - 09:45;9411,4;9096,7;374,0;123,5;250,5;105,07;104,67;79,89;129,68;111,50;497,5;104,67;497,5
